Samples	ID1	ID2	ID7	ID8	ID15	ID83B	ID83C
TCGA-D8-A27F-01	0	0	0	8	0	0	0
TCGA-D8-A27G-01	3	0	0	0	0	2	0
TCGA-D8-A27H-01	0	0	0	6	0	0	0
TCGA-D8-A27I-01	0	0	0	0	2	0	0
TCGA-D8-A27K-01	3	0	0	0	0	0	0
TCGA-D8-A27L-01	0	0	0	0	0	0	3
TCGA-D8-A27M-01	0	0	0	3	0	0	0
TCGA-D8-A27N-01	0	0	0	1	0	0	2
TCGA-D8-A27R-01	0	0	0	0	0	1	0
TCGA-D8-A27T-01	0	0	0	0	0	0	1
TCGA-D8-A27V-01	0	0	0	0	3086	0	0
TCGA-D8-A27W-01	0	0	1	0	0	0	0
TCGA-D8-A3Z6-01	0	0	0	0	0	2	3
TCGA-D8-A73U-01	0	0	0	0	0	3	0
TCGA-D8-A73W-01	0	0	0	0	3	0	0
TCGA-D8-A73X-01	0	0	0	0	0	1	3
TCGA-E2-A105-01	0	0	7	0	0	0	0
TCGA-E2-A107-01	2	0	0	0	0	3	0
TCGA-E2-A108-01	0	0	0	3	0	0	0
TCGA-E2-A109-01	0	0	0	0	0	0	6
TCGA-E2-A10A-01	0	5	0	0	0	0	0
TCGA-E2-A10B-01	0	0	0	0	0	0	2
TCGA-E2-A10C-01	0	0	0	2	0	0	0
TCGA-E2-A10F-01	0	0	0	2	0	0	0
