Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
TCGA-AC-A3YJ-01	0.00E+00	0.00E+00	0.00E+00	1.54E-01	0.00E+00	0.00E+00	0.00E+00	5.57E-02	1.22E-01	1.57E-01	1.31E-01	1.53E-01	0.00E+00
TCGA-AC-A4ZE-01	6.67E-02	1.18E-01	1.59E-01	3.33E-02	0.00E+00	3.33E-02	3.33E-02	0.00E+00	1.86E-01	1.99E-01	2.47E-01	1.49E-01	2.03E-01
TCGA-AC-A5EH-01	6.67E-02	0.00E+00	1.48E-01	1.33E-01	0.00E+00	9.26E-02	1.18E-01	0.00E+00	1.71E-01	2.52E-01	2.40E-01	2.58E-01	3.48E-01
TCGA-AC-A5EI-01	6.67E-02	0.00E+00	7.35E-02	0.00E+00	0.00E+00	0.00E+00	2.74E-01	0.00E+00	3.09E-01	5.57E-02	2.98E-01	3.24E-01	2.29E-01
TCGA-AC-A5XS-01	6.67E-02	9.69E-02	1.37E-01	1.35E-01	1.60E-01	2.14E-01	3.33E-02	7.35E-02	2.24E-01	2.03E-01	1.89E-01	2.12E-01	1.84E-01
TCGA-AC-A5XU-01	3.33E-02	1.18E-01	1.00E-01	0.00E+00	1.00E-01	0.00E+00	1.28E-01	3.33E-02	9.98E-02	2.56E-01	2.17E-01	2.42E-01	2.11E-01
TCGA-AC-A62V-01	1.33E-01	1.64E-01	1.24E-01	1.33E-01	7.35E-02	3.33E-02	0.00E+00	0.00E+00	2.67E-01	2.27E-01	2.23E-01	3.14E-01	1.78E-01
TCGA-AC-A62X-01	0.00E+00	0.00E+00	1.39E-01	0.00E+00	0.00E+00	1.33E-01	1.11E-01	0.00E+00	1.91E-01	1.84E-01	1.21E-01	1.49E-01	2.09E-01
TCGA-AC-A62Y-01	1.01E-01	1.42E-01	1.69E-01	3.33E-02	1.47E-01	2.00E-01	7.35E-02	0.00E+00	1.04E-01	2.09E-01	1.96E-01	7.35E-02	1.94E-01
TCGA-AC-A6IV-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.33E-02	0.00E+00	3.33E-02	0.00E+00	0.00E+00
