Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-D8-A145-01	4	0	20	13	0	10
TCGA-D8-A146-01	0	10	18	0	0	13
TCGA-D8-A147-01	50	18	7	99	10	16
TCGA-D8-A1J8-01	309	301	111	15	45	180
TCGA-D8-A1J9-01	138	140	0	0	0	0
TCGA-D8-A1JB-01	4	5	5	16	27	6
TCGA-D8-A1JC-01	38	42	18	13	10	1
TCGA-D8-A1JD-01	16	11	8	49	22	16
TCGA-D8-A1JE-01	2	1	11	3	16	7
TCGA-D8-A1JF-01	3	4	15	10	4	13
TCGA-D8-A1JG-01	10	13	37	0	109	0
TCGA-D8-A1JH-01	0	2	4	0	13	5
TCGA-D8-A1JI-01	0	3	4	0	27	8
TCGA-D8-A1JJ-01	23	41	21	0	0	13
TCGA-D8-A1JK-01	11	24	0	47	120	47
TCGA-D8-A1JL-01	12	3	5	45	39	23
TCGA-D8-A1JM-01	0	0	15	0	38	0
TCGA-D8-A1JN-01	63	119	26	0	0	0
TCGA-D8-A1JP-01	13	0	0	67	37	18
TCGA-D8-A1JS-01	0	4	8	0	13	4
TCGA-D8-A1JT-01	0	0	17	0	24	0
TCGA-D8-A1JU-01	0	2	10	0	0	8
TCGA-D8-A1X5-01	6	3	18	0	28	11
TCGA-D8-A1X6-01	0	3	23	16	0	0
TCGA-D8-A1X7-01	0	3	7	0	22	0
TCGA-D8-A1X9-01	10	0	0	0	72	20
TCGA-D8-A1XA-01	0	2	9	0	12	5
TCGA-D8-A1XB-01	2	9	21	1	7	10
TCGA-D8-A1XC-01	0	3	18	13	0	0
TCGA-D8-A1XF-01	3	4	27	5	10	2
TCGA-D8-A1XG-01	0	2	0	0	14	11
TCGA-D8-A1XK-01	0	0	0	0	0	1300
TCGA-D8-A1XL-01	6	5	8	38	33	20
TCGA-D8-A1XM-01	6	22	16	0	20	0
TCGA-D8-A1XO-01	6	6	7	3	5	2
TCGA-D8-A1XQ-01	32	23	205	153	86	532
TCGA-D8-A1XR-01	0	4	11	0	0	17
TCGA-D8-A1XS-01	0	7	9	0	10	0
TCGA-D8-A1XT-01	0	6	20	19	0	0
TCGA-D8-A1XU-01	3	12	7	13	0	0
TCGA-D8-A1XV-01	5	0	17	0	14	0
TCGA-D8-A1XW-01	11	8	13	55	20	15
TCGA-D8-A1XY-01	1	9	32	8	4	5
TCGA-D8-A1XZ-01	13	0	58	25	0	0
TCGA-D8-A1Y0-01	12	5	8	22	24	10
TCGA-D8-A1Y1-01	0	20	182	0	0	31
TCGA-D8-A1Y2-01	4	9	9	0	0	0
TCGA-D8-A1Y3-01	0	0	46	21	0	0
TCGA-D8-A27E-01	0	2	2	7	0	0
TCGA-D8-A27F-01	12	0	0	19	31	8
TCGA-D8-A27G-01	572	604	0	0	0	0
TCGA-D8-A27H-01	53	10	12	85	0	0
TCGA-D8-A27I-01	5	5	11	0	15	0
TCGA-D8-A27K-01	2	0	11	0	8	0
TCGA-D8-A27L-01	9	26	18	0	0	0
TCGA-D8-A27M-01	14	3	12	46	10	5
TCGA-D8-A27N-01	2	4	29	7	13	5
