Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-BH-A204-01	5	5	20	16	6
TCGA-BH-A208-01	33	25	0	24	0
TCGA-BH-A209-01	79	40	0	0	0
TCGA-BH-A28Q-01	2	1	3	16	4
TCGA-BH-A2L8-01	318	310	0	0	0
TCGA-BH-A42U-01	5	22	0	5	0
TCGA-BH-A42V-01	20	29	0	6	0
TCGA-BH-A5IZ-01	7	12	48	19	10
TCGA-BH-A5J0-01	19	65	0	18	0
TCGA-BH-A6R8-01	3	6	4	19	5
TCGA-BH-A6R9-01	0	0	16	9	0
TCGA-BH-A8FY-01	5	7	28	8	8
TCGA-BH-A8FZ-01	7	11	39	10	24
TCGA-BH-A8G0-01	0	2	0	10	5
TCGA-BH-AB28-01	0	10	0	17	16
TCGA-C8-A12K-01	60	2	81	11	19
TCGA-C8-A12L-01	4	3	57	18	7
TCGA-C8-A12M-01	2	4	25	38	13
TCGA-C8-A12N-01	5	0	0	14	8
TCGA-C8-A12O-01	0	7	0	42	0
TCGA-C8-A12P-01	77	73	9	28	15
TCGA-C8-A12Q-01	55	68	0	16	0
TCGA-C8-A12T-01	121	80	0	13	0
TCGA-C8-A12U-01	8	2	19	31	1
TCGA-C8-A12V-01	4	3	25	4	16
TCGA-C8-A12W-01	7	0	0	70	0
TCGA-C8-A12X-01	3	1	16	37	8
TCGA-C8-A12Y-01	0	0	0	23	23
TCGA-C8-A12Z-01	15	14	5	22	5
TCGA-C8-A130-01	8	0	0	46	0
TCGA-C8-A131-01	0	20	24	18	12
TCGA-C8-A132-01	31	6	25	16	6
TCGA-C8-A133-01	0	11	16	0	6
TCGA-C8-A134-01	7	0	85	11	14
TCGA-C8-A135-01	9	1	9	41	17
TCGA-C8-A137-01	22	20	0	20	0
TCGA-C8-A138-01	0	0	27	25	0
TCGA-C8-A1HE-01	13	32	0	9	0
TCGA-C8-A1HF-01	8	13	4	8	6
TCGA-C8-A1HG-01	4	7	12	35	11
TCGA-C8-A1HI-01	12	9	16	26	9
TCGA-C8-A1HJ-01	13	0	79	8	24
TCGA-C8-A1HK-01	30	1	17	17	8
TCGA-C8-A1HL-01	0	0	16	12	9
TCGA-C8-A1HM-01	289	103	20	29	7
TCGA-C8-A1HN-01	2	7	25	29	7
TCGA-C8-A1HO-01	6	14	13	11	5
TCGA-C8-A26V-01	43	19	8	17	9
TCGA-C8-A26W-01	18	29	3	12	7
TCGA-C8-A26X-01	3	6	31	32	3
TCGA-C8-A26Y-01	492	424	0	0	0
TCGA-C8-A26Z-01	0	0	20	29	0
TCGA-C8-A273-01	0	0	11	13	0
TCGA-C8-A274-01	123	158	0	0	0
TCGA-C8-A275-01	80	43	0	19	0
TCGA-C8-A278-01	10	10	11	19	3
TCGA-C8-A27A-01	4	11	13	12	0
TCGA-C8-A27B-01	77	0	66	0	19
TCGA-C8-A3M7-01	51	147	0	23	0
TCGA-C8-A3M8-01	12	3	15	17	15
TCGA-C8-A8HP-01	133	124	0	16	0
TCGA-C8-A8HQ-01	176	196	0	0	0
TCGA-C8-A8HR-01	3	4	22	18	13
TCGA-C8-A9FZ-01	5	0	0	17	7
TCGA-D8-A13Y-01	13	20	20	14	15
TCGA-D8-A13Z-01	16	0	54	33	0
TCGA-D8-A140-01	5	47	22	34	26
TCGA-D8-A141-01	0	0	9	12	0
TCGA-D8-A142-01	17	0	77	72	0
TCGA-D8-A143-01	1	2	34	21	3
TCGA-D8-A145-01	4	0	12	20	11
TCGA-D8-A146-01	0	13	0	16	12
TCGA-D8-A147-01	56	15	103	9	17
TCGA-D8-A1J8-01	352	328	0	90	191
TCGA-D8-A1J9-01	141	137	0	0	0
TCGA-D8-A1JB-01	4	7	36	9	7
TCGA-D8-A1JC-01	47	49	3	21	2
TCGA-D8-A1JD-01	17	13	64	9	19
TCGA-D8-A1JE-01	2	2	13	13	10
TCGA-D8-A1JF-01	4	4	10	16	15
TCGA-D8-A1JG-01	10	23	74	58	4
TCGA-D8-A1JH-01	0	4	7	6	7
TCGA-D8-A1JI-01	0	8	14	8	12
TCGA-D8-A1JJ-01	26	48	0	24	0
TCGA-D8-A1JK-01	10	41	132	10	56
TCGA-D8-A1JL-01	12	5	73	10	27
TCGA-D8-A1JM-01	0	5	25	23	0
TCGA-D8-A1JN-01	64	126	0	18	0
TCGA-D8-A1JP-01	14	0	98	0	23
TCGA-D8-A1JS-01	0	6	8	10	5
TCGA-D8-A1JT-01	0	0	20	21	0
TCGA-D8-A1JU-01	0	3	0	9	8
TCGA-D8-A1X5-01	7	4	20	22	13
TCGA-D8-A1X6-01	0	0	15	27	0
TCGA-D8-A1X7-01	1	6	12	12	1
TCGA-D8-A1X9-01	10	0	64	0	28
TCGA-D8-A1XA-01	0	5	0	14	9
TCGA-D8-A1XB-01	3	12	2	22	11
TCGA-D8-A1XC-01	0	5	0	20	9
TCGA-D8-A1XF-01	3	5	10	30	3
TCGA-D8-A1XG-01	0	4	9	0	14
TCGA-D8-A1XK-01	0	0	0	0	1300
TCGA-D8-A1XL-01	6	8	63	11	22
TCGA-D8-A1XM-01	9	32	0	23	0
TCGA-D8-A1XO-01	7	7	5	7	3
TCGA-D8-A1XQ-01	33	26	196	189	587
TCGA-D8-A1XR-01	0	6	0	9	17
TCGA-D8-A1XS-01	0	12	0	14	0
TCGA-D8-A1XT-01	3	6	14	20	2
TCGA-D8-A1XU-01	4	17	5	6	3
TCGA-D8-A1XV-01	5	0	9	22	0
TCGA-D8-A1XW-01	12	9	68	16	17
TCGA-D8-A1XY-01	2	11	5	34	7
TCGA-D8-A1XZ-01	13	0	21	62	0
TCGA-D8-A1Y0-01	13	5	39	12	12
TCGA-D8-A1Y1-01	0	0	0	194	39
TCGA-D8-A1Y2-01	4	10	0	8	0
TCGA-D8-A1Y3-01	0	0	17	50	0
TCGA-D8-A27E-01	0	2	6	3	0
TCGA-D8-A27F-01	13	0	44	0	13
TCGA-D8-A27G-01	588	588	0	0	0
TCGA-D8-A27H-01	60	0	85	15	0
TCGA-D8-A27I-01	5	6	8	12	5
TCGA-D8-A27K-01	0	0	7	14	0
TCGA-D8-A27L-01	9	29	0	15	0
TCGA-D8-A27M-01	14	1	56	14	5
TCGA-D8-A27N-01	2	5	14	32	7
TCGA-D8-A27P-01	0	5	0	12	13
TCGA-D8-A27R-01	4	4	16	9	2
TCGA-D8-A27T-01	0	8	0	17	6
TCGA-D8-A27V-01	123	94	0	18	0
TCGA-D8-A27W-01	5	0	0	50	0
TCGA-D8-A3Z6-01	3	8	3	12	11
TCGA-D8-A4Z1-01	10	36	0	0	0
TCGA-D8-A73U-01	55	152	0	0	0
TCGA-D8-A73W-01	3	1	7	29	12
TCGA-D8-A73X-01	0	13	0	25	14
TCGA-E2-A105-01	4	11	17	23	12
TCGA-E2-A107-01	1	13	2	13	7
TCGA-E2-A108-01	114	72	0	0	0
TCGA-E2-A109-01	0	6	38	26	14
TCGA-E2-A10A-01	4	9	6	3	6
TCGA-E2-A10B-01	18	28	3	9	15
TCGA-E2-A10C-01	226	293	0	0	0
TCGA-E2-A10F-01	3	6	0	21	0
TCGA-E2-A14N-01	19	9	61	15	5
TCGA-E2-A14O-01	0	6	0	30	0
TCGA-E2-A14P-01	13	37	13	37	12
TCGA-E2-A14Q-01	3	6	8	20	3
TCGA-E2-A14R-01	19	0	85	15	24
TCGA-E2-A14T-01	7	5	4	17	10
TCGA-E2-A14V-01	49	27	16	42	7
TCGA-E2-A14W-01	14	2	66	13	7
TCGA-E2-A14X-01	3	7	0	27	0
TCGA-E2-A14Y-01	20	16	1	7	6
TCGA-E2-A14Z-01	11	40	28	16	0
TCGA-E2-A150-01	5	5	37	26	18
TCGA-E2-A152-01	81	75	0	15	0
TCGA-E2-A153-01	0	10	0	16	0
TCGA-E2-A154-01	0	0	25	33	0
TCGA-E2-A155-01	6	19	20	24	12
TCGA-E2-A156-01	2	7	5	6	5
TCGA-E2-A158-01	6	0	65	15	11
TCGA-E2-A159-01	121	80	0	0	0
TCGA-E2-A15A-01	3	4	30	18	7
TCGA-E2-A15C-01	1	2	10	29	8
TCGA-E2-A15D-01	0	0	0	20	14
TCGA-E2-A15E-01	7	0	9	13	11
TCGA-E2-A15F-01	0	0	10	18	0
TCGA-E2-A15G-01	0	19	26	28	0
TCGA-E2-A15H-01	0	0	0	25	8
TCGA-E2-A15I-01	0	9	10	24	0
