Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-E2-A109-01	0	37	31	16
TCGA-E2-A10A-01	10	7	5	6
TCGA-E2-A10B-01	34	9	16	14
TCGA-E2-A10C-01	477	0	42	0
TCGA-E2-A10F-01	4	0	21	5
TCGA-E2-A14N-01	22	66	14	7
TCGA-E2-A14O-01	0	6	30	0
TCGA-E2-A14P-01	29	18	55	10
TCGA-E2-A14Q-01	3	10	23	4
TCGA-E2-A14R-01	18	88	8	29
TCGA-E2-A14T-01	8	5	17	13
TCGA-E2-A14V-01	60	25	43	13
TCGA-E2-A14W-01	13	69	12	8
TCGA-E2-A14X-01	4	0	27	6
TCGA-E2-A14Y-01	29	5	7	9
TCGA-E2-A14Z-01	32	32	31	0
TCGA-E2-A150-01	5	39	24	23
TCGA-E2-A152-01	125	14	32	0
TCGA-E2-A153-01	4	0	19	3
TCGA-E2-A154-01	0	22	33	3
TCGA-E2-A155-01	14	24	31	12
TCGA-E2-A156-01	6	7	8	4
TCGA-E2-A158-01	3	67	12	15
TCGA-E2-A159-01	150	25	10	16
TCGA-E2-A15A-01	3	30	19	10
TCGA-E2-A15C-01	0	9	29	12
TCGA-E2-A15D-01	0	3	14	17
TCGA-E2-A15E-01	4	11	10	15
TCGA-E2-A15F-01	0	8	16	4
TCGA-E2-A15G-01	6	27	36	4
TCGA-E2-A15H-01	0	5	19	9
TCGA-E2-A15I-01	2	10	30	1
TCGA-E2-A15J-01	0	7	9	6
TCGA-E2-A15K-01	1	17	27	8
TCGA-E2-A15L-01	1	5	20	8
TCGA-E2-A15M-01	31	27	34	16
TCGA-E2-A15O-01	0	11	20	3
TCGA-E2-A15P-01	0	5	15	8
TCGA-E2-A15R-01	2	6	39	0
TCGA-E2-A15S-01	12	30	6	20
TCGA-E2-A15T-01	1	8	24	7
TCGA-E2-A1AZ-01	30	25	14	10
TCGA-E2-A1B0-01	9	8	28	15
TCGA-E2-A1B1-01	36	7	23	0
